velocidad_bala,distancia,altura_relativa,accion
-10.0,90.0,-8.0,2
-10.0,110.0,-8.0,2
-10.0,130.0,-8.0,0
-10.0,150.0,-8.0,2
-10.0,170.0,-8.0,2
-11.0,208.0,12.0,2
-11.0,186.0,12.0,2
-11.0,164.0,12.0,2
-11.0,142.0,12.0,2
-11.0,120.0,12.0,2
-11.0,98.0,12.0,2
-11.0,76.0,12.0,2
-11.0,54.0,12.0,0
-11.0,208.0,12.0,0
-11.0,186.0,12.0,0
-11.0,164.0,12.0,2
-11.0,142.0,12.0,2
-11.0,120.0,12.0,2
-11.0,98.0,12.0,2
-11.0,76.0,12.0,2
-11.0,54.0,12.0,2
-10.0,210.0,-8.0,2
-10.0,190.0,-8.0,2
-10.0,170.0,-8.0,2
-10.0,150.0,-8.0,0
-10.0,130.0,-8.0,0
-10.0,110.0,-8.0,0
-10.0,90.0,-8.0,2
-10.0,70.0,-8.0,2
-10.0,50.0,-8.0,2
-10.0,30.0,-8.0,2
-10.0,10.0,-8.0,2
-10.0,30.0,-8.0,2
-10.0,90.0,-8.0,0
-10.0,110.0,-8.0,0
-11.0,186.0,-48.0,0
-11.0,164.0,-48.0,0
-11.0,56.0,-48.0,0
-11.0,78.0,-48.0,0
-12.0,132.0,12.0,0
-12.0,108.0,12.0,0
-12.0,204.0,12.0,0
-11.0,76.0,-8.0,0
-11.0,54.0,-8.0,0
-9.0,42.0,-48.0,0
-9.0,24.0,-48.0,0
-9.0,147.0,-48.0,0
-9.0,165.0,-48.0,0
-11.0,98.0,12.0,0
-10.0,90.0,-48.0,0
-10.0,70.0,-48.0,0
-10.0,130.0,-48.0,0
-10.0,150.0,-48.0,0
-9.0,60.0,-48.0,0
-9.0,129.0,-48.0,0
-9.0,60.0,-8.0,0
-9.0,204.0,-8.0,0
-12.0,204.0,-48.0,0
-12.0,36.0,-48.0,0
-12.0,60.0,-48.0,0
-12.0,84.0,-48.0,0
-12.0,132.0,-48.0,0
-12.0,108.0,-48.0,0
-12.0,132.0,-48.0,0
-12.0,156.0,-48.0,0
-12.0,60.0,12.0,0
-11.0,208.0,-8.0,0
-11.0,186.0,-8.0,0
-11.0,164.0,-8.0,0
-11.0,56.0,-8.0,0
-11.0,208.0,-8.0,0
-11.0,208.0,12.0,0
-11.0,186.0,12.0,0
-11.0,164.0,12.0,0
-11.0,142.0,12.0,1
-11.0,120.0,12.0,1
-11.0,98.0,12.0,1
-11.0,76.0,12.0,1
-11.0,54.0,12.0,1
-11.0,32.0,12.0,1
-11.0,10.0,12.0,1
-11.0,34.0,12.0,1
-11.0,56.0,12.0,1
-11.0,78.0,12.0,1
-11.0,100.0,12.0,1
-11.0,122.0,12.0,1
-11.0,144.0,12.0,1
-11.0,166.0,12.0,1
-11.0,208.0,12.0,1
-11.0,186.0,12.0,1
-11.0,164.0,12.0,1
-11.0,142.0,12.0,1
-11.0,120.0,12.0,1
-11.0,98.0,12.0,1
-11.0,76.0,12.0,1
-11.0,54.0,12.0,1
-11.0,32.0,12.0,1
-11.0,10.0,12.0,1
-11.0,34.0,12.0,1
-11.0,56.0,12.0,1
-11.0,78.0,12.0,1
-11.0,100.0,12.0,1
-11.0,122.0,12.0,1
-11.0,144.0,12.0,1
-11.0,166.0,12.0,0
